===== Input Arguments =====
  model         : resnet34d
  attn          : channel
  tuning        : False
  use_excluded  : True
  use_added     : True
  folds         : 4
  epochs        : 400
  batch_size    : 32
  lr            : 0.001
  optimizer     : adamw
  weight_decay  : 0.005
  label_smoothing: 0.0
  label         : family
  crop_bbox     : True
  seed          : 42
  save_csv      : results_all.csv
  outdir        : /home/work/AIPJ/EF2039_Introduction_to_AI_Programming_Project_1/best_model/400epochs
  added_repeat  : 1
  rotation      : 15
  cutmix        : 0.5
===========================
Device: cuda  |  AMP: True  |  Workers: 14
Label: family  |  Classes: 70
Mode: excl=True, added=True  |  Original: 10000, Added(train-only): 180 ×1 = 180
Test set isolated: 2000 samples (20%, seed=42)
Train+Val pool   : 8000 samples → 4-fold CV

============================================================
  Fold 1/4
============================================================
  Train: 6180, Val: 2000, Test: 2000
  resnet34_dropout(p=0.5) + CHANNEL  injected=9 modules
  [F1 E  1/400] Train 4.1142/0.0668  Val 3.8505/0.0805  (10.1s)
  [F1 E  2/400] Train 3.9245/0.0846  Val 3.6807/0.0950  (8.5s)
  [F1 E  3/400] Train 3.8119/0.0982  Val 3.5436/0.1340  (9.2s)
  [F1 E  4/400] Train 3.7936/0.0995  Val 3.4421/0.1550  (8.7s)
  [F1 E  5/400] Train 3.6988/0.1199  Val 3.3703/0.1535  (7.9s)
  [Epoch 6] Backbone unfreeze (lr=1e-04)
  [F1 E  6/400] Train 3.0462/0.2181  Val 1.8871/0.4460  (10.5s)
  [F1 E  7/400] Train 2.2986/0.3845  Val 1.3343/0.5945  (10.3s)
  [F1 E  8/400] Train 2.0426/0.4617  Val 1.2799/0.6100  (10.1s)
  [F1 E  9/400] Train 1.7947/0.5277  Val 0.9267/0.7290  (10.7s)
  [F1 E 10/400] Train 1.7261/0.5508  Val 0.7861/0.7620  (10.3s)
  [F1 E 11/400] Train 1.6643/0.5853  Val 0.7819/0.7825  (11.0s)
  [F1 E 12/400] Train 1.4502/0.6261  Val 0.7159/0.8030  (10.6s)
  [F1 E 13/400] Train 1.4129/0.6398  Val 0.6609/0.8145  (11.3s)
  [F1 E 14/400] Train 1.4623/0.6354  Val 0.6986/0.8150  (10.4s)
  [F1 E 15/400] Train 1.2938/0.6706  Val 0.5987/0.8320  (12.9s)
  [F1 E 16/400] Train 1.3226/0.6723  Val 0.5683/0.8385  (13.0s)
  [F1 E 17/400] Train 1.1835/0.7178  Val 0.5583/0.8350  (13.1s)
  [F1 E 18/400] Train 1.1725/0.7134  Val 0.5416/0.8455  (11.0s)
  [F1 E 19/400] Train 1.1025/0.7317  Val 0.5871/0.8300  (10.7s)
  [F1 E 20/400] Train 1.1954/0.7128  Val 0.5226/0.8560  (10.9s)
  [F1 E 21/400] Train 1.0663/0.7348  Val 0.5297/0.8595  (10.6s)
  [F1 E 22/400] Train 1.1128/0.7487  Val 0.5326/0.8570  (10.3s)
  [F1 E 23/400] Train 0.9682/0.7599  Val 0.5438/0.8525  (10.4s)
  [F1 E 24/400] Train 0.9929/0.7736  Val 0.5267/0.8580  (10.8s)
  [F1 E 25/400] Train 1.1257/0.7427  Val 0.4790/0.8790  (11.2s)
  [F1 E 26/400] Train 0.9319/0.7913  Val 0.5313/0.8515  (10.4s)
  [F1 E 27/400] Train 0.9987/0.7508  Val 0.4817/0.8715  (10.8s)
  [F1 E 28/400] Train 0.9434/0.7552  Val 0.4627/0.8765  (12.8s)
  [F1 E 29/400] Train 1.1006/0.7337  Val 0.5188/0.8670  (12.5s)
  [F1 E 30/400] Train 0.8723/0.7921  Val 0.4457/0.8785  (12.8s)
  [F1 E 31/400] Train 0.8630/0.8074  Val 0.4524/0.8810  (11.6s)
  [F1 E 32/400] Train 0.8745/0.7930  Val 0.4824/0.8790  (10.7s)
  [F1 E 33/400] Train 0.9398/0.7733  Val 0.5133/0.8630  (10.7s)
