class,n_samples,accuracy
A300,20,0.0
A310,20,0.0
A330,40,0.0
CRJ-200,20,0.0
MD-11,20,0.0
DC-9,20,0.05
Boeing 777,40,0.05
Boeing 717,20,0.05
DC-10,20,0.05
Embraer Legacy 600,20,0.1
Boeing 727,20,0.1
ATR-42,20,0.1
L-1011,20,0.1
Fokker 100,20,0.2
Falcon 2000,20,0.25
C-47,20,0.25
DC-8,20,0.25
Boeing 757,40,0.275
Boeing 707,20,0.3
Fokker 50,20,0.3
Fokker 70,20,0.35
MD-90,20,0.35
PA-28,20,0.35
A320,80,0.35
A380,20,0.4
DC-3,20,0.45
Embraer ERJ 145,40,0.45
Yak-42,20,0.45
ATR-72,20,0.45
Challenger 600,20,0.45
DHC-1,20,0.5
Global Express,20,0.5
Tu-134,20,0.55
Cessna 172,20,0.55
Boeing 767,60,0.5833333333333334
Cessna 208,20,0.6
Falcon 900,20,0.6
Tu-154,20,0.6
Metroliner,20,0.6
F-16,20,0.6
F/A-18,20,0.65
Eurofighter Typhoon,20,0.65
Dornier 328,20,0.65
EMB-120,20,0.65
DHC-6,20,0.65
Saab 340,20,0.65
Tornado,20,0.65
Hawk T1,20,0.65
Beechcraft 1900,20,0.65
MD-80,40,0.675
Boeing 737,160,0.69375
King Air,20,0.7
An-12,20,0.7
Saab 2000,20,0.7
DR-400,20,0.75
DC-6,20,0.75
BAE 146,40,0.75
Spitfire,20,0.8
DH-82,20,0.8
BAE-125,20,0.8
Cessna Citation,40,0.825
C-130,20,0.85
Embraer E-Jet,60,0.8666666666666667
CRJ-700,40,0.875
Dash 8,40,0.875
SR-20,20,0.9
Gulfstream,40,0.9
A340,80,0.9125
Boeing 747,80,0.9125
Il-76,20,1.0
