class,n_samples,accuracy
Boeing 717,20,0.45
DC-9,20,0.45
C-47,20,0.5
A310,20,0.65
A300,20,0.7
Fokker 70,20,0.7
Fokker 50,20,0.7
A330,40,0.7
A380,20,0.75
DC-8,20,0.75
DC-10,20,0.75
Boeing 707,20,0.8
Cessna 172,20,0.8
CRJ-200,20,0.8
L-1011,20,0.8
Boeing 777,40,0.85
Tu-154,20,0.85
Dornier 328,20,0.85
Falcon 2000,20,0.85
Eurofighter Typhoon,20,0.85
ATR-42,20,0.85
MD-90,20,0.85
PA-28,20,0.85
MD-80,40,0.875
Boeing 757,40,0.875
EMB-120,20,0.9
F/A-18,20,0.9
DHC-6,20,0.9
Fokker 100,20,0.9
Challenger 600,20,0.9
Cessna 208,20,0.9
Boeing 727,20,0.9
Global Express,20,0.9
MD-11,20,0.9
King Air,20,0.9
A320,80,0.9125
Saab 2000,20,0.95
Saab 340,20,0.95
Tu-134,20,0.95
F-16,20,0.95
Metroliner,20,0.95
Yak-42,20,0.95
BAE 146,40,0.95
Boeing 767,60,0.95
Embraer ERJ 145,40,0.95
ATR-72,20,0.95
Beechcraft 1900,20,0.95
An-12,20,0.95
Boeing 747,80,0.95
Cessna Citation,40,0.95
DC-6,20,0.95
DH-82,20,0.95
DR-400,20,0.95
Embraer E-Jet,60,0.95
DC-3,20,0.95
Boeing 737,160,0.96875
A340,80,0.975
Gulfstream,40,0.975
Dash 8,40,0.975
Embraer Legacy 600,20,1.0
Spitfire,20,1.0
Tornado,20,1.0
C-130,20,1.0
BAE-125,20,1.0
Il-76,20,1.0
Hawk T1,20,1.0
CRJ-700,40,1.0
Falcon 900,20,1.0
SR-20,20,1.0
DHC-1,20,1.0
