class,n_samples,accuracy
A300,20,0.0
Tu-134,20,0.0
MD-90,20,0.0
MD-11,20,0.0
L-1011,20,0.0
Global Express,20,0.0
Fokker 50,20,0.0
Fokker 100,20,0.0
Embraer Legacy 600,20,0.0
DC-9,20,0.0
DC-8,20,0.0
DC-10,20,0.0
CRJ-200,20,0.0
Boeing 777,40,0.0
Yak-42,20,0.0
A310,20,0.0
A380,20,0.0
Boeing 717,20,0.0
A330,40,0.0
Boeing 707,20,0.0
BAE-125,20,0.0
A320,80,0.0125
ATR-42,20,0.05
Boeing 727,20,0.05
ATR-72,20,0.05
Falcon 2000,20,0.05
Boeing 757,40,0.225
Fokker 70,20,0.25
Tu-154,20,0.25
DHC-6,20,0.25
Dornier 328,20,0.25
F-16,20,0.3
Falcon 900,20,0.3
DC-3,20,0.3
F/A-18,20,0.3
Metroliner,20,0.3
PA-28,20,0.35
C-47,20,0.35
Cessna 172,20,0.35
Challenger 600,20,0.35
Boeing 767,60,0.43333333333333335
Cessna 208,20,0.45
DC-6,20,0.45
EMB-120,20,0.5
King Air,20,0.5
Saab 2000,20,0.5
Saab 340,20,0.5
An-12,20,0.55
Beechcraft 1900,20,0.55
BAE 146,40,0.575
DHC-1,20,0.6
DR-400,20,0.6
Spitfire,20,0.65
C-130,20,0.65
Embraer ERJ 145,40,0.675
Tornado,20,0.7
DH-82,20,0.7
Hawk T1,20,0.8
A340,80,0.8125
Boeing 737,160,0.8125
CRJ-700,40,0.825
Embraer E-Jet,60,0.8333333333333334
Dash 8,40,0.85
Eurofighter Typhoon,20,0.85
SR-20,20,0.85
MD-80,40,0.9
Cessna Citation,40,0.9
Gulfstream,40,0.925
Il-76,20,0.95
Boeing 747,80,0.95
