epoch,train_loss,val_loss,val_acc
1,2.9672,2.7870,0.2325
2,2.8396,2.7613,0.2250
3,2.7812,2.6985,0.2376
4,2.7170,2.6296,0.2370
5,2.6770,2.6320,0.2343
6,2.6297,2.5641,0.2178
7,2.5875,2.4830,0.2727
8,2.5233,2.5028,0.2067
9,2.5217,2.4282,0.2832
10,2.5161,2.3888,0.2916
11,2.4097,2.3260,0.2967
12,2.3689,2.2764,0.2946
13,2.3268,2.2509,0.3114
14,2.3091,2.2739,0.3012
15,2.2724,2.2671,0.3009
16,2.2489,2.2599,0.3015
17,2.2068,2.1821,0.3138
18,2.2130,2.1408,0.3162
19,2.1588,2.2191,0.3057
20,2.1440,2.1794,0.3138
21,2.1543,2.1825,0.3084
22,2.1508,2.1165,0.3336
23,2.1020,2.0841,0.3399
24,2.0728,2.0641,0.3477
25,2.0731,2.0606,0.3438
26,2.0540,2.0606,0.3465
27,2.0265,2.0489,0.3489
28,2.0336,2.0463,0.3459
29,2.0104,2.0406,0.3456
30,2.0242,2.0411,0.3477
